Project Code,Project Name,"Production 
% Complete",Circuit Length (km),ROW (km),"Area
(km2)",SPU Factor,Total SPUs,RS Total,GIS Total,PLS Total,Production Total,Production Start date,Production Estimated Completion Date,RS (Luke),GIS (Dom),PLS (Carlos)
NMAP26036,Humelink Canopies,31%,380,380,,0.44,167,28,60,N/A,88,03-Jan-00,19-Jun-26,19-Jun-26,19-Jun-26,N/A
NMCP25127,HONI 500kV,72%,65,49,,0.55,36,24,30,32,86,03-Jan-00,19-Jun-26,29-May-26,22-May-26,19-Jun-26
NMCP26023,HONI 2026,2%,14601,9596,,0.86,12557,420,5000,878,6298,03-Jan-00,18-Dec-26,02-Oct-26,18-Dec-26,25-Sep-26
NMCP26060,HONI Darlington Nuclear,0%,,,0.65,10.68,7,8,8,N/A,16,03-Jan-00,03-Jan-00,N/A,03-Jan-00,N/A
NMIP26002,CHGE Spring 2026,88%,183,180,,1.05,192,90,50,193,333,03-Jan-00,19-Jun-26,05-Jun-26,12-Jun-26,19-Jun-26
NMIP26008,Avangrid CMP Veg 2026,73%,443,344,,0.87,385,195,400,89,684,03-Jan-00,26-Jun-26,19-Jun-26,19-Jun-26,26-Jun-26
NMIP26020,FPL Summer 2026,0%,586,495,,1.15,674,145,280,975,,03-Jan-00,11-Dec-26,28-Aug-26,11-Dec-26,04-Dec-26
NMIP26025,Sunflower Electric,70%,1073,1050,,0.95,1019,270,900,N/A,1170,03-Jan-00,31-Jul-26,19-Jun-26,31-Jul-26,N/A
NMIP26027,NYPA Group A 2026,27%,832,451,0.62,1.8,1498,215,1000,1369,2584,03-Jan-00,14-Aug-26,12-Jun-26,14-Aug-26,24-Jul-26
NMIP26029,NGUS 2026,0%,2237,1411,,1.07,2394,325,750,2123,3198,03-Jan-00,18-Dec-26,28-Aug-26,04-Dec-26,18-Dec-26
NMIP26030,OPPD 2026,88%,275,275,,1.3,358,105,100,367,572,03-Jan-00,26-Jun-26,05-Jun-26,12-Jun-26,26-Jun-26
NMIP26031,Eversource 2026,0%,848,480,,0.86,729,170,850,,1020,03-Jan-00,11-Dec-26,28-Aug-26,11-Dec-26,N/A
NMIP26035,ComEd CSX,37%,9,6,,4.87,44,20,32,,52,12-Jun-26,12-Jun-26,12-Jun-26,N/A,N/A
NMIP26038,Lansing BWL 2026,0%,--,--,--,--,--,,,,,,,---,---,---
NMIP26041,CMP Eng 2026,0%,371,329,,1.06,393,100,130,645,875,03-Jan-00,03-Jan-00,N/A,N/A,03-Jan-00
NMIP26042,PG&E M4,,--,--,--,--,--,N/A,N/A,,0,03-Jan-00,01-Jan-27,N/A,N/A,01-Jan-27
NMIP26043,Xcel NSP Spring 2026,2%,2082,2029,0.6,1.27,2644,670,940,N/A,1610,03-Jan-00,31-Jul-26,17-Jul-26,31-Jul-26,N/A
NMIP26044,LGE Spring 2026,0%,416,408,,1.8,749,125,200,,,03-Jan-00,11-Dec-26,28-Aug-26,11-Dec-26,03-Jan-00
NMIP26055,SoCo GPC 2026,0%,3443,2909,,1.11,3822,800,1770,N/A,2570,03-Jan-00,30-Oct-26,30-Oct-26,18-Sep-26,N/A
NMIP26056,SoCo APC 2026,0%,3537,3006,,1.06,3749,800,1520,N/A,2320,03-Jan-00,30-Oct-26,30-Oct-26,23-Oct-26,N/A
NMLP25094,SHET RIIO-T3,18%,3720,2165,,1.34,4985,450,1600,4313,6363,03-Jan-00,08-Jan-27,19-Jun-26,08-Jan-27,08-Jan-27
NMLP26012,WSP EDN2,0%,60,60,,1.41,85,30,65,N/A,95,03-Jan-00,18-Dec-26,26-Jun-26,18-Dec-26,N/A
,,,,,,,,,,,,,,,,
